Komoditas;Tahun;Bulan;Harga
Kedelai Biji Kering Tk. Petani (Rp/Kg);2019;Juli;Rp6.858
Cabai Merah Keriting Tk.Petani (rp/Kg);2019;Juli;Rp43.291
Cabai Rawit Merah Tk. Petani (Rp/Kg);2019;Juli;Rp38.822
Bawang Merah Tk. Petani (Rp/Kg);2019;Juli;Rp21.060
Sapi Hidup (Rp/kg Berat Hidup);2019;Juli;Rp48.955
Ayam Ras (Rp/Ekor Hidup);2019;Juli;Rp19.316
Telur Ayam Ras (Rp/Kg);2019;Juli;Rp20.750
GKP Tingkat Petani (Rp/Kg);2019;Agustus;Rp4.654
GKP Tingkat Penggilingan (Rp/Kg);2019;Agustus;Rp4.910
GKG Tingkat Penggilingan (Rp/Kg);2019;Agustus;Rp5.437
Beras Medium Tk. Penggilingan (Rp/Kg);2019;Agustus;Rp9.209
Beras Premium Tk. Penggilingan (Rp/Kg);2019;Agustus;Rp10.374
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2019;Agustus;Rp3.874
Kedelai Biji Kering Tk. Petani (Rp/Kg);2019;Agustus;Rp6.845
Cabai Merah Keriting Tk.Petani (rp/Kg);2019;Agustus;Rp48.621
Cabai Rawit Merah Tk. Petani (Rp/Kg);2019;Agustus;Rp50.430
Bawang Merah Tk. Petani (Rp/Kg);2019;Agustus;Rp18.080
Sapi Hidup (Rp/kg Berat Hidup);2019;Agustus;Rp49.584
Ayam Ras (Rp/Ekor Hidup);2019;Agustus;Rp16.587
Telur Ayam Ras (Rp/Kg);2019;Agustus;Rp20.439
GKP Tingkat Petani (Rp/Kg);2019;September;Rp4.727
GKP Tingkat Penggilingan (Rp/Kg);2019;September;Rp4.993
GKG Tingkat Penggilingan (Rp/Kg);2019;September;Rp5.505
Beras Medium Tk. Penggilingan (Rp/Kg);2019;September;Rp9.241
Beras Premium Tk. Penggilingan (Rp/Kg);2019;September;Rp10.406
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2019;September;Rp3.925
Kedelai Biji Kering Tk. Petani (Rp/Kg);2019;September;Rp6.891
Cabai Merah Keriting Tk.Petani (rp/Kg);2019;September;Rp35.816
Cabai Rawit Merah Tk. Petani (Rp/Kg);2019;September;Rp41.228
Bawang Merah Tk. Petani (Rp/Kg);2019;September;Rp14.104
Sapi Hidup (Rp/kg Berat Hidup);2019;September;Rp48.965
Ayam Ras (Rp/Ekor Hidup);2019;September;Rp15.732
Telur Ayam Ras (Rp/Kg);2019;September;Rp18.668
GKP Tingkat Petani (Rp/Kg);2019;Oktober;Rp4.798
GKP Tingkat Penggilingan (Rp/Kg);2019;Oktober;Rp5.078
GKG Tingkat Penggilingan (Rp/Kg);2019;Oktober;Rp5.581
Beras Medium Tk. Penggilingan (Rp/Kg);2019;Oktober;Rp9.280
Beras Premium Tk. Penggilingan (Rp/Kg);2019;Oktober;Rp10.415
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2019;Oktober;Rp3.938
Kedelai Biji Kering Tk. Petani (Rp/Kg);2019;Oktober;Rp6.802
Cabai Merah Keriting Tk.Petani (rp/Kg);2019;Oktober;Rp28.751
Cabai Rawit Merah Tk. Petani (Rp/Kg);2019;Oktober;Rp37.992
Bawang Merah Tk. Petani (Rp/Kg);2019;Oktober;Rp14.592
Sapi Hidup (Rp/kg Berat Hidup);2019;Oktober;Rp48.831
Ayam Ras (Rp/Ekor Hidup);2019;Oktober;Rp20.619
Telur Ayam Ras (Rp/Kg);2019;Oktober;Rp18.123
GKP Tingkat Petani (Rp/Kg);2019;November;Rp4.825
GKP Tingkat Penggilingan (Rp/Kg);2019;November;Rp5.122
GKG Tingkat Penggilingan (Rp/Kg);2019;November;Rp5.638
Beras Medium Tk. Penggilingan (Rp/Kg);2019;November;Rp9.332
Beras Premium Tk. Penggilingan (Rp/Kg);2019;November;Rp10.459
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2019;November;Rp3.931
Kedelai Biji Kering Tk. Petani (Rp/Kg);2019;November;Rp6.730
Cabai Merah Keriting Tk.Petani (rp/Kg);2019;November;Rp25.142
Cabai Rawit Merah Tk. Petani (Rp/Kg);2019;November;Rp32.081
Bawang Merah Tk. Petani (Rp/Kg);2019;November;Rp18.134
Sapi Hidup (Rp/kg Berat Hidup);2019;November;Rp48.934
Ayam Ras (Rp/Ekor Hidup);2019;November;Rp21.303
Telur Ayam Ras (Rp/Kg);2019;November;Rp20.696
GKP Tingkat Petani (Rp/Kg);2019;Desember;Rp4.857
GKP Tingkat Penggilingan (Rp/Kg);2019;Desember;Rp5.149
GKG Tingkat Penggilingan (Rp/Kg);2019;Desember;Rp5.688
Beras Medium Tk. Penggilingan (Rp/Kg);2019;Desember;Rp9.376
Beras Premium Tk. Penggilingan (Rp/Kg);2019;Desember;Rp10.489
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2019;Desember;Rp3.994
Kedelai Biji Kering Tk. Petani (Rp/Kg);2019;Desember;Rp6.801
Cabai Merah Keriting Tk.Petani (rp/Kg);2019;Desember;Rp21.924
Cabai Rawit Merah Tk. Petani (Rp/Kg);2019;Desember;Rp27.616
Bawang Merah Tk. Petani (Rp/Kg);2019;Desember;Rp21.282
Sapi Hidup (Rp/kg Berat Hidup);2019;Desember;Rp48.976
Ayam Ras (Rp/Ekor Hidup);2019;Desember;Rp19.884
Telur Ayam Ras (Rp/Kg);2019;Desember;Rp22.308
GKP Tingkat Petani (Rp/Kg);2020;Januari;Rp4.891
GKP Tingkat Penggilingan (Rp/Kg);2020;Januari;Rp5.171
GKG Tingkat Penggilingan (Rp/Kg);2020;Januari;Rp5.756
Beras Medium Tk. Penggilingan (Rp/Kg);2020;Januari;Rp9.497
Beras Premium Tk. Penggilingan (Rp/Kg);2020;Januari;Rp10.725
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2020;Januari;Rp4.382
